Date,Market Area,Tonnes,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),Max_avg,Min_avg
December,0,2,500,500,500,1375,1375
February,0,7,1000,1000,1000,1375,1375
July,0,4.666666667,1000,1000,1000,1375,1375
June,0,1,3000,3000,3000,1375,1375
April,1,15.35416667,526.3125,982.4166667,810.4791667,1191.507048,580.8535726
August,1,40.34883721,429.6511628,927,725.5581395,1191.507048,580.8535726
December,1,25.875,410.0833333,770.8333333,618.2083333,1191.507048,580.8535726
February,1,18.52,391.74,846,652.44,1191.507048,580.8535726
January,1,24.19607843,503.5098039,1050.823529,850.7058824,1191.507048,580.8535726
July,1,20.15909091,906.8863636,1537.659091,1271.113636,1191.507048,580.8535726
June,1,17.37209302,1061.697674,2042.325581,1651.953488,1191.507048,580.8535726
March,1,20.26315789,348.4210526,713.0175439,564.2807018,1191.507048,580.8535726
May,1,15.75,838.5227273,1573.454545,1285.727273,1191.507048,580.8535726
November,1,23.47222222,526.3611111,1190,883.1388889,1191.507048,580.8535726
October,1,22.2,506,1403.64,845.24,1191.507048,580.8535726
September,1,25.6,521.0571429,1260.914286,904.7714286,1191.507048,580.8535726
April,2,1.571428571,291.3571429,1106.666667,811.2857143,1563.848987,344.6171062
August,2,1.763157895,455.2631579,2367.105263,1564.210526,1563.848987,344.6171062
December,2,1.466666667,291.1111111,847.3333333,611.3333333,1563.848987,344.6171062
February,2,1.181818182,277.0227273,988.9772727,719.2272727,1563.848987,344.6171062
January,2,1.2,283.0222222,1063.555556,803.1111111,1563.848987,344.6171062
July,2,1.264705882,561.1764706,3208.941176,2263.647059,1563.848987,344.6171062
June,2,1.363636364,340,1891.818182,1546.666667,1563.848987,344.6171062
March,2,1.943396226,279.1509434,963.9622642,723.3962264,1563.848987,344.6171062
May,2,1.375,288.4375,1169.0625,845,1563.848987,344.6171062
November,2,1.075,390.25,1801.6,1138.25,1563.848987,344.6171062
October,2,1.432432432,372.972973,2059.72973,1349.189189,1563.848987,344.6171062
September,2,1.41025641,305.6410256,1297.435897,874.6153846,1563.848987,344.6171062
December,3,3.5,600,600,600,895.8333333,795.8333333
February,3,1,750,1150,1000,895.8333333,795.8333333
March,3,3.333333333,833.3333333,833.3333333,833.3333333,895.8333333,795.8333333
May,3,2,1000,1000,1000,895.8333333,795.8333333
April,4,45.20408163,1279.591837,1636.734694,1454.081633,1919.230989,1483.486015
August,4,43.11363636,1544.318182,2026.136364,1785.227273,1919.230989,1483.486015
December,4,44.625,885.4166667,1189.583333,1051.041667,1919.230989,1483.486015
